"State Name","District Name","Sub-district name","Village/Town/City Name (Lang = EN)","Lang = HN","Lang = MR"
"Maharashtra ","Yavatmal","Kelapur","Adni","अडनी","अडनी"
"Maharashtra ","Yavatmal","Kelapur","Akoli","अकोली","अकोली"
"Maharashtra ","Yavatmal","Kelapur","Ambhora","अंभोरा","अंभोरा"
"Maharashtra ","Yavatmal","Kelapur","Andharwadi","अंधरवाडी","अंधरवाडी"
"Maharashtra ","Yavatmal","Kelapur","Arli","आर्ली","आर्ली"
"Maharashtra ","Yavatmal","Kelapur","Asoli","असोली","असोली"
"Maharashtra ","Yavatmal","Kelapur","Bahatter","बहाटर","बहाटर"
"Maharashtra ","Yavatmal","Kelapur","Ballarpur","बल्लारपूर","बल्लारपूर"
"Maharashtra ","Yavatmal","Kelapur","Belori","बेलोरी","बेलोरी"
"Maharashtra ","Yavatmal","Kelapur","Bhad-umari","भाड-उमारी","भाड-उमारी"
"Maharashtra ","Yavatmal","Kelapur","Bhandarpur","भंडारपूर","भंडारपूर"
"Maharashtra ","Yavatmal","Kelapur","Both","बोथ","बोथ"
"Maharashtra ","Yavatmal","Kelapur","Chalbardi","चालबर्डी","चालबर्डी"
"Maharashtra ","Yavatmal","Kelapur","Chanai","चनाई","चनाई"
"Maharashtra ","Yavatmal","Kelapur","Chanakha","चाणाखा","चाणाखा"
"Maharashtra ","Yavatmal","Kelapur","Chikhaldara","चिखलदरा","चिखलदरा"
"Maharashtra ","Yavatmal","Kelapur","Chopan","चोपन","चोपन"
"Maharashtra ","Yavatmal","Kelapur","Dabha","दाभा","दाभा"
"Maharashtra ","Yavatmal","Kelapur","Daryapur","दर्यापूर","दर्यापूर"
"Maharashtra ","Yavatmal","Kelapur","Dat-padi","दाथ-पाडी","दाथ-पाडी"
"Maharashtra ","Yavatmal","Kelapur","Dehali","देहली","देहली"
"Maharashtra ","Yavatmal","Kelapur","Dharamgota","धरमगोटा","धरमगोटा"
"Maharashtra ","Yavatmal","Kelapur","Dharna","धरणा","धरणा"
"Maharashtra ","Yavatmal","Kelapur","Dhoki","धोकी","धोकी"
"Maharashtra ","Yavatmal","Kelapur","Dongargaon","डोंगरगाव","डोंगरगाव"
"Maharashtra ","Yavatmal","Kelapur","Durgada","दुर्गाडा","दुर्गाडा"
"Maharashtra ","Yavatmal","Kelapur","Ganeshpur","गणेशपूर","गणेशपूर"
"Maharashtra ","Yavatmal","Kelapur","Ghanmod","घनमोड","घनमोड"
"Maharashtra ","Yavatmal","Kelapur","Ghoddara","घोडदरा","घोडदरा"
"Maharashtra ","Yavatmal","Kelapur","Ghonsi","घोंसी","घोंसी"
"Maharashtra ","Yavatmal","Kelapur","Ghubadi","घुबाडी","घुबाडी"
"Maharashtra ","Yavatmal","Kelapur","Gondwakadi","गोंदवाकडी","गोंदवाकडी"
"Maharashtra ","Yavatmal","Kelapur","Hiwari","हिवरी","हिवरी"
"Maharashtra ","Yavatmal","Kelapur","Jalka Road","जालका रोड","जालका रोड"
"Maharashtra ","Yavatmal","Kelapur","Jawaharnagar","जवाहरनगर","जवाहरनगर"
"Maharashtra ","Yavatmal","Kelapur","Jira","जिरा","जिरा"
"Maharashtra ","Yavatmal","Kelapur","Joginkawada","जोगिंकावाडा","जोगिंकावाडा"
"Maharashtra ","Yavatmal","Kelapur","Karanji","करंजी","करंजी"
"Maharashtra ","Yavatmal","Kelapur","Karanwadi","करणवाडी","करणवाडी"
"Maharashtra ","Yavatmal","Kelapur","Karegaon","कारेगाव","कारेगाव"
"Maharashtra ","Yavatmal","Kelapur","Kawatha","कवठा","कवठा"
"Maharashtra ","Yavatmal","Kelapur","Kegaon","केगाव","केगाव"
"Maharashtra ","Yavatmal","Kelapur","Kelapur","केलापूर","केलापूर"
"Maharashtra ","Yavatmal","Kelapur","Khairgaon","खैरगाव","खैरगाव"
"Maharashtra ","Yavatmal","Kelapur","Khairi","खैरी","खैरी"
"Maharashtra ","Yavatmal","Kelapur","Kinhala","किन्हाळा","किन्हाळा"
"Maharashtra ","Yavatmal","Kelapur","Kinhi","किन्ही","किन्ही"
"Maharashtra ","Yavatmal","Kelapur","Kobai","कोबाई","कोबाई"
"Maharashtra ","Yavatmal","Kelapur","Kodori","कोडोरी","कोडोरी"
"Maharashtra ","Yavatmal","Kelapur","Kondhi","कोंढी","कोंढी"
"Maharashtra ","Yavatmal","Kelapur","Konghara","कोंघारा","कोंघारा"
"Maharashtra ","Yavatmal","Kelapur","Kopamandavi","कोपमादवी","कोपमादवी"
"Maharashtra ","Yavatmal","Kelapur","Kotha","कोठा","कोठा"
"Maharashtra ","Yavatmal","Kelapur","Kothoda","कोठोडा","कोठोडा"
"Maharashtra ","Yavatmal","Kelapur","Krishnapur","कृष्णपूर","कृष्णपूर"
"Maharashtra ","Yavatmal","Kelapur","Kusal","कुसल","कुसल"
"Maharashtra ","Yavatmal","Kelapur","Lingati","लिंगाटी","लिंगाटी"
"Maharashtra ","Yavatmal","Kelapur","Mahandoli","महंदोली","महंदोली"
"Maharashtra ","Yavatmal","Kelapur","Makoda Pod","मकोडा पोड","मकोडा पोड"
"Maharashtra ","Yavatmal","Kelapur","Mangi","मांगी","मांगी"
"Maharashtra ","Yavatmal","Kelapur","Mangurda","मंगुरदा","मंगुरदा"
"Maharashtra ","Yavatmal","Kelapur","Marath Wakadi","मराठवाकडी","मराठवाकडी"
"Maharashtra ","Yavatmal","Kelapur","Maregaon","मारेगाव","मारेगाव"
"Maharashtra ","Yavatmal","Kelapur","Maregaon Road","मारेगाव रोड","मारेगाव रोड"
"Maharashtra ","Yavatmal","Kelapur","Matharjune","माथार्जुन","माथार्जुन"
"Maharashtra ","Yavatmal","Kelapur","Meera","मीरा","मीरा"
"Maharashtra ","Yavatmal","Kelapur","Mohadari","मोहदरी","मोहदरी"
"Maharashtra ","Yavatmal","Kelapur","Mohda","मोहदा","मोहदा"
"Maharashtra ","Yavatmal","Kelapur","Morwa","मोरवा","मोरवा"
"Maharashtra ","Yavatmal","Kelapur","Muchi","मुची","मुची"
"Maharashtra ","Yavatmal","Kelapur","Munzala","मुंजाळा","मुंजाळा"
"Maharashtra ","Yavatmal","Kelapur","Nagezari Kh","नागेझरी ख","नागेझरी ख"
"Maharashtra ","Yavatmal","Kelapur","Naik Sukali","नाईक सुकाली","नाईक सुकाली"
"Maharashtra ","Yavatmal","Kelapur","Niljai","नीलजाई","नीलजाई"
"Maharashtra ","Yavatmal","Kelapur","Nimdeli","निमदल्ली","निमदल्ली"
"Maharashtra ","Yavatmal","Kelapur","Padha","पाधा","पाधा"
"Maharashtra ","Yavatmal","Kelapur","Padiyali","पडियाली","पडियाली"
"Maharashtra ","Yavatmal","Kelapur","Pahapal","पहापल","पहापल"
"Maharashtra ","Yavatmal","Kelapur","Pandharkawda","पांढरकवडा","पांढरकवडा"
"Maharashtra ","Yavatmal","Kelapur","Pandharwani Bk","पांढरवणी बी","पांढरवणी बी"
"Maharashtra ","Yavatmal","Kelapur","Pandharwani Kh","पांढरवणी ख","पांढरवणी ख"
"Maharashtra ","Yavatmal","Kelapur","Patanbori","पाटणबोरी","पाटणबोरी"
"Maharashtra ","Yavatmal","Kelapur","Patapangra","पाटपाँगरा","पाटपाँगरा"
"Maharashtra ","Yavatmal","Kelapur","Pathari","पठारी","पठारी"
"Maharashtra ","Yavatmal","Kelapur","Pendhari","पेंढरी","पेंढरी"
